iter	Passed	Remaining
175	246	1153
176	246	1147
177	247	1141
178	247	1136
179	248	1130
180	248	1125
181	249	1119
182	249	1114
183	250	1108
184	250	1103
185	250	1098
186	251	1093
187	251	1087
188	252	1082
189	252	1077
190	253	1072
191	253	1067
192	254	1062
193	254	1057
194	255	1052
195	255	1048
196	255	1043
197	256	1038
198	256	1034
199	257	1029
200	257	1025
201	258	1020
202	258	1016
203	259	1011
204	259	1007
205	260	1002
206	260	998
207	261	993
208	261	989
209	261	985
210	262	981
211	262	977
212	263	973
213	263	968
214	264	965
215	264	961
216	265	957
217	265	953
218	266	949
219	266	945
220	267	941
221	267	937
222	267	933
223	268	929
224	268	925
225	269	922
226	269	918
227	270	914
228	270	911
229	271	907
230	271	905
231	272	901
232	272	898
233	273	895
234	273	891
235	274	888
236	274	885
237	275	881
238	275	877
239	276	874
240	276	871
241	277	868
242	277	864
243	277	861
244	278	858
245	278	854
246	279	851
247	279	848
248	280	845
249	280	842
250	281	838
251	281	835
252	282	832
253	282	829
254	282	826
255	283	823
256	283	820
257	284	817
258	284	814
259	285	811
260	285	808
261	286	806
262	286	803
263	287	800
264	287	797
265	287	794
266	288	791
267	288	789
268	289	786
269	289	783
270	290	780
271	290	778
272	291	775
273	291	772
274	292	770
275	292	767
276	293	765
277	293	762
278	294	760
279	294	757
280	295	755
281	295	752
282	296	750
283	296	748
284	297	745
285	297	743
286	298	740
287	298	738
288	299	736
289	299	733
290	300	731
291	300	729
292	301	727
293	302	725
294	302	723
295	303	721
296	303	719
297	304	716
298	304	714
299	305	712
300	305	710
301	306	707
302	306	705
303	307	703
304	307	701
305	308	699
306	308	697
307	309	695
308	309	693
309	310	690
310	310	688
311	311	686
312	311	684
313	312	682
314	312	680
315	313	678
316	313	676
317	314	674
318	314	672
319	315	670
320	315	668
321	316	666
322	316	663
323	317	662
324	317	660
325	318	657
326	318	656
327	319	654
328	319	652
329	320	650
330	320	648
331	321	646
332	321	644
333	322	642
334	322	640
335	323	638
336	323	637
337	324	635
338	324	633
339	325	631
340	325	629
341	326	627
342	326	626
343	327	624
344	327	622
345	328	620
346	328	618
347	329	617
348	329	615
349	330	613
350	330	611
351	331	610
352	331	608
353	332	606
354	332	604
355	333	603
356	333	601
357	334	599
358	334	597
359	335	596
360	335	594
361	336	593
362	337	591
363	337	589
364	338	588
365	338	586
366	339	584
367	339	583
368	340	581
369	340	580
370	341	578
371	341	576
372	342	575
373	342	573
374	343	572
375	343	570
376	344	568
377	344	567
378	345	566
379	346	564
380	346	562
381	346	561
382	347	559
383	347	558
384	348	556
385	349	555
386	349	553
387	350	552
388	350	550
389	351	549
390	351	547
391	352	546
392	352	544
393	353	543
394	353	541
395	354	540
396	354	538
397	355	537
398	355	535
399	356	534
400	356	532
401	357	531
402	357	530
403	358	528
404	358	527
405	359	525
406	359	524
407	360	522
408	360	521
409	361	520
410	361	518
411	362	517
412	362	515
413	363	514
414	363	513
415	364	511
416	364	510
417	365	508
418	366	507
419	366	506
420	367	504
421	367	503
422	368	502
423	368	500
424	368	499
425	369	497
426	370	496
427	370	495
428	370	493
429	371	492
430	372	491
431	372	490
432	373	488
433	373	487
434	374	486
435	374	485
436	375	483
437	375	482
438	376	481
439	376	479
440	377	478
441	377	477
442	378	475
443	378	474
444	379	473
445	379	471
446	380	470
447	380	469
448	381	467
449	381	466
450	382	465
451	382	464
452	383	462
453	383	461
454	384	460
455	384	458
456	385	457
457	385	456
458	386	455
459	386	454
460	387	452
461	387	451
462	388	450
463	388	449
464	389	447
465	389	446
466	390	445
467	390	444
468	391	443
469	391	442
470	392	440
471	393	439
472	393	438
473	394	437
474	394	436
475	394	434
476	395	433
477	395	432
478	396	431
479	397	430
480	397	428
481	398	427
482	398	426
483	398	425
484	399	424
485	399	422
486	400	421
487	401	420
488	401	419
489	402	418
490	402	417
491	402	416
492	403	414
493	403	413
494	404	412
495	404	411
496	405	410
